N,K,RunNumber,TimeShm,ThroughputShm,TimeNoShm,ThroughputNoShm,Correctness
65536,1000,1,0.011791,29910.995086,0.007876,8321396.673582,1
65536,1000,2,0.011791,5558051.298886,0.007868,8329406.033052,1
65536,1000,3,0.011848,5531361.292458,0.007869,8328874.648012,1
65536,1000,4,0.012112,5410829.113575,0.007727,8480942.523193,1
65536,1000,5,0.012139,5398941.813755,0.007909,8286723.473668,1
65536,1000,6,0.012119,5407844.792750,0.007905,8289938.367868,1
65536,1000,7,0.012800,5119927.603620,0.007834,8365384.067899,1
65536,1000,8,0.012134,5400902.630748,0.007866,8331398.868607,1
65536,1000,9,0.011564,5667128.987333,0.007873,8324082.369597,1
65536,1000,10,0.011970,5475139.807335,0.007883,8313599.904524,1
131072,1000,1,0.012139,10797711.933509,0.007934,16519917.620093,1
131072,1000,2,0.012090,10841357.402984,0.008032,16319216.760477,1
131072,1000,3,0.012186,10756369.620366,0.008019,16344782.744156,1
131072,1000,4,0.012204,10740175.863241,0.008158,16067496.431971,1
131072,1000,5,0.011816,11092799.726725,0.007999,16385759.476287,1
131072,1000,6,0.012334,10627303.788787,0.008165,16052474.284452,1
131072,1000,7,0.012247,10702089.488022,0.008195,15994872.759120,1
131072,1000,8,0.012101,10831546.283667,0.008071,16240615.679968,1
131072,1000,9,0.012373,10593357.130841,0.008127,16127367.205011,1
131072,1000,10,0.012470,10510662.717365,0.008156,16071243.545083,1
262144,1000,1,0.013300,19709460.175673,0.009024,29049532.684862,1
262144,1000,2,0.013006,20155561.588557,0.008916,29399909.659510,1
262144,1000,3,0.013201,19858169.320964,0.008966,29236060.920790,1
262144,1000,4,0.013229,19815868.072343,0.008976,29206042.099813,1
262144,1000,5,0.012944,20252293.053189,0.008864,29573823.784364,1
262144,1000,6,0.013089,20027622.954808,0.009083,28860176.922592,1
262144,1000,7,0.013298,19713214.453077,0.008889,29489799.625520,1
262144,1000,8,0.013394,19572455.788689,0.008918,29393398.980405,1
262144,1000,9,0.012890,20337701.231826,0.009045,28982703.187916,1
262144,1000,10,0.012497,20976294.211612,0.008895,29472592.040542,1
524288,1000,1,0.014696,35674739.852571,0.010258,51108588.423256,1
524288,1000,2,0.014457,36266540.219916,0.010258,51109649.700304,1
524288,1000,3,0.014698,35669972.999398,0.010323,50789069.884403,1
524288,1000,4,0.014687,35698416.032237,0.010280,51000564.865281,1
524288,1000,5,0.015136,34638825.671341,0.010501,49925448.159551,1
524288,1000,6,0.015395,34055887.229999,0.010328,50761675.016394,1
524288,1000,7,0.014693,35682592.092936,0.010238,51210111.923549,1
524288,1000,8,0.014857,35289615.025718,0.010375,50532141.722781,1
524288,1000,9,0.015208,34474666.174301,0.010509,49887757.132812,1
524288,1000,10,0.014884,35224795.155613,0.010447,50187391.069094,1
1048576,1000,1,0.017585,59628571.337911,0.012628,83037003.374522,1
1048576,1000,2,0.018252,57451399.645925,0.012813,81838391.743551,1
1048576,1000,3,0.018555,56512866.216407,0.012758,82189710.796172,1
1048576,1000,4,0.017616,59525576.055633,0.012744,82277650.713006,1
1048576,1000,5,0.018395,57001906.173790,0.012685,82665389.981707,1
1048576,1000,6,0.017664,59360655.430087,0.012642,82941764.808216,1
1048576,1000,7,0.017986,58298205.014650,0.012714,82472462.351630,1
1048576,1000,8,0.021550,48657645.136710,0.012680,82696735.656594,1
1048576,1000,9,0.018145,57788440.891631,0.012684,82671718.412249,1
1048576,1000,10,0.018111,57895846.899301,0.012721,82429323.135413,1
2097152,1000,1,0.022965,91318321.088480,0.016604,126300683.764057,1
2097152,1000,2,0.023393,89649372.852869,0.016656,125907706.384356,1
2097152,1000,3,0.023241,90233784.994880,0.016691,125644043.846409,1
2097152,1000,4,0.023273,90112539.247648,0.016658,125892098.800706,1
2097152,1000,5,0.023414,89567737.827248,0.016709,125513921.925135,1
2097152,1000,6,0.023582,88930615.782879,0.016617,126204649.524945,1
2097152,1000,7,0.023724,88399511.579124,0.016852,124442393.695910,1
2097152,1000,8,0.022877,91669723.174078,0.016695,125614610.245019,1
2097152,1000,9,0.023063,90932170.185216,0.016734,125320501.732925,1
2097152,1000,10,0.023206,90369709.001913,0.016683,125708218.826776,1
